sku,upc,department,subcategory,total_sales,total_shrink,shrink_rate
SKU0107,484543248820,Bakery,Bread,263.0,138.0,52.5
SKU0257,441277193030,Bakery,Deli Bread,291.0,151.0,51.9
SKU0252,427858321486,Bakery,Cakes,201.0,104.0,51.7
SKU0396,433995209281,Bakery,Deli Bread,336.0,163.0,48.5
SKU0182,476470121639,Bakery,Deli Bread,388.0,187.0,48.2
SKU0389,498172392092,Bakery,Cakes,220.0,106.0,48.2
SKU0307,434698439081,Bakery,Cakes,379.0,182.0,48.0
SKU0056,491068757003,Bakery,Cakes,256.0,123.0,48.0
SKU0030,488784219449,Bakery,Cakes,294.0,138.0,46.9
SKU0258,429356588487,Bakery,Pastries,308.0,144.0,46.8
SKU0195,428150108098,Bakery,Bread,340.0,150.0,44.1
SKU0279,442663503508,Produce,Leafy Greens,318.0,135.0,42.5
SKU0068,490295951195,Bakery,Pastries,151.0,64.0,42.4
SKU0208,456815947284,Bakery,Deli Bread,420.0,177.0,42.1
SKU0064,424957074522,Bakery,Pastries,369.0,155.0,42.0
SKU0132,411426451858,Bakery,Cakes,381.0,158.0,41.5
SKU0104,437363917552,Bakery,Deli Bread,374.0,154.0,41.2
SKU0334,466930722835,Bakery,Bread,445.0,182.0,40.9
SKU0082,404399873551,Bakery,Pastries,429.0,170.0,39.6
SKU0090,410479173015,Bakery,Cakes,411.0,162.0,39.4
SKU0136,473507404483,Bakery,Deli Bread,260.0,102.0,39.2
SKU0185,481711858670,Bakery,Deli Bread,383.0,148.0,38.6
SKU0120,428867696415,Bakery,Bread,309.0,118.0,38.2
SKU0186,441665809182,Bakery,Bread,368.0,140.0,38.0
SKU0395,467664335300,Bakery,Bread,264.0,100.0,37.9
SKU0383,469321354455,Bakery,Bread,284.0,107.0,37.7
SKU0151,486403859171,Bakery,Bread,490.0,180.0,36.7
SKU0176,486839963238,Bakery,Cakes,178.0,65.0,36.5
SKU0098,458595163582,Produce,Bananas,226.0,82.0,36.3
SKU0317,404710770198,Bakery,Pastries,381.0,138.0,36.2
SKU0194,446328930011,Produce,Bananas,426.0,154.0,36.2
SKU0369,462321587590,Bakery,Deli Bread,465.0,168.0,36.1
SKU0400,434429402313,Bakery,Pastries,292.0,105.0,36.0
SKU0337,407419135523,Bakery,Deli Bread,288.0,103.0,35.8
SKU0150,474349105720,Bakery,Pastries,286.0,102.0,35.7
SKU0345,476570469531,Bakery,Pastries,433.0,152.0,35.1
SKU0183,415189462425,Produce,Leafy Greens,288.0,100.0,34.7
SKU0196,420505756910,Bakery,Cakes,328.0,113.0,34.5
SKU0099,444577911667,Produce,Leafy Greens,282.0,97.0,34.4
SKU0390,474803331693,Produce,Citrus,493.0,169.0,34.3
SKU0241,488354592695,Produce,Tomatoes,229.0,78.0,34.1
SKU0024,473708291861,Bakery,Pastries,540.0,181.0,33.5
SKU0129,483391832431,Bakery,Bread,589.0,196.0,33.3
SKU0153,412300902025,Bakery,Pastries,364.0,120.0,33.0
SKU0373,406322497674,Produce,Bananas,346.0,112.0,32.4
SKU0014,446407318350,Bakery,Bread,481.0,155.0,32.2
SKU0003,428180332966,Bakery,Bread,395.0,125.0,31.6
SKU0102,434143322405,Produce,Bananas,385.0,121.0,31.4
SKU0228,412546297132,Produce,Tomatoes,239.0,75.0,31.4
SKU0033,410009114172,Produce,Apples,426.0,133.0,31.2
SKU0060,498282193584,Produce,Bananas,344.0,106.0,30.8
SKU0175,467624999479,Produce,Citrus,356.0,105.0,29.5
SKU0178,409154344015,Produce,Citrus,277.0,81.0,29.2
SKU0025,465816749115,Produce,Citrus,401.0,112.0,27.9
SKU0333,436398087815,Produce,Citrus,363.0,101.0,27.8
SKU0124,441031364324,Produce,Bananas,345.0,96.0,27.8
SKU0225,439752153596,Produce,Apples,501.0,139.0,27.7
SKU0382,407475567018,Produce,Apples,243.0,67.0,27.6
SKU0048,456186690900,Produce,Citrus,541.0,148.0,27.4
SKU0037,451799937007,Produce,Bananas,191.0,52.0,27.2
SKU0117,431328503269,Produce,Bananas,447.0,118.0,26.4
SKU0108,458122698264,Produce,Leafy Greens,261.0,69.0,26.4
SKU0062,491096585068,Produce,Leafy Greens,194.0,51.0,26.3
SKU0378,492182899810,Produce,Leafy Greens,311.0,81.0,26.0
SKU0187,415000708513,Produce,Bananas,343.0,89.0,25.9
SKU0141,406769929259,Produce,Leafy Greens,457.0,117.0,25.6
SKU0381,409475048426,Produce,Apples,306.0,74.0,24.2
SKU0094,466058233524,Produce,Citrus,457.0,109.0,23.9
SKU0170,442525370668,Produce,Tomatoes,451.0,108.0,23.9
SKU0364,460787469138,Seafood,Shellfish,282.0,66.0,23.4
SKU0393,480580872532,Produce,Bananas,433.0,98.0,22.6
SKU0101,451333104219,Produce,Citrus,632.0,142.0,22.5
SKU0347,486868598265,Produce,Citrus,602.0,133.0,22.1
SKU0022,437450743307,Seafood,Shellfish,285.0,62.0,21.8
SKU0087,471586701249,Seafood,Shellfish,227.0,48.0,21.1
SKU0339,476931987464,Seafood,Shellfish,395.0,77.0,19.5
SKU0018,410709568991,Seafood,Smoked Seafood,316.0,56.0,17.7
SKU0221,490408041475,Seafood,Smoked Seafood,329.0,58.0,17.6
SKU0128,480793240013,Seafood,Fresh Fish,275.0,47.0,17.1
SKU0188,449193025350,Seafood,Shellfish,374.0,63.0,16.8
SKU0071,405435136645,Seafood,Smoked Seafood,267.0,44.0,16.5
SKU0158,408438856718,Seafood,Shellfish,345.0,57.0,16.5
SKU0374,449050081052,Seafood,Smoked Seafood,437.0,72.0,16.5
SKU0256,406174760287,Seafood,Smoked Seafood,260.0,42.0,16.2
SKU0386,458749784440,Seafood,Smoked Seafood,311.0,50.0,16.1
SKU0376,450939543000,Seafood,Smoked Seafood,316.0,51.0,16.1
SKU0356,487870368553,Seafood,Smoked Seafood,349.0,56.0,16.0
SKU0055,499243963817,Seafood,Shellfish,546.0,87.0,15.9
SKU0080,439018899720,Seafood,Smoked Seafood,410.0,65.0,15.9
SKU0103,464966624404,Seafood,Fresh Fish,386.0,61.0,15.8
SKU0268,426868988675,Meat,Beef,333.0,52.0,15.6
SKU0306,422781041462,Meat,Pork,190.0,29.0,15.3
SKU0121,499713612762,Seafood,Fresh Fish,609.0,93.0,15.3
SKU0299,432249860359,Seafood,Shellfish,331.0,50.0,15.1
SKU0028,467258117644,Seafood,Fresh Fish,412.0,62.0,15.0
SKU0273,411459895758,Seafood,Smoked Seafood,410.0,61.0,14.9
SKU0352,423602494123,Seafood,Fresh Fish,517.0,77.0,14.9
SKU0005,444764787985,Seafood,Smoked Seafood,332.0,49.0,14.8
SKU0160,489639974537,Seafood,Shellfish,372.0,55.0,14.8
SKU0388,423091720683,Seafood,Shellfish,307.0,45.0,14.7
SKU0250,494477100463,Seafood,Smoked Seafood,389.0,57.0,14.7
SKU0177,488594257977,Seafood,Smoked Seafood,383.0,56.0,14.6
SKU0297,491566932233,Seafood,Smoked Seafood,288.0,42.0,14.6
SKU0083,480014233052,Meat,Prepared Meat,253.0,37.0,14.6
SKU0323,450369263615,Seafood,Shellfish,462.0,67.0,14.5
SKU0285,444211390140,Seafood,Smoked Seafood,381.0,54.0,14.2
SKU0019,458757219412,Seafood,Smoked Seafood,417.0,59.0,14.1
SKU0359,445000322710,Seafood,Fresh Fish,517.0,71.0,13.7
SKU0277,467411183547,Seafood,Smoked Seafood,422.0,57.0,13.5
SKU0169,487879969723,Seafood,Fresh Fish,305.0,40.0,13.1
SKU0355,436369872286,Seafood,Smoked Seafood,410.0,53.0,12.9
SKU0300,467819135883,Seafood,Fresh Fish,515.0,64.0,12.4
SKU0235,421798476335,Seafood,Smoked Seafood,410.0,51.0,12.4
SKU0207,489562062829,Meat,Beef,422.0,52.0,12.3
SKU0205,488580769145,Seafood,Shellfish,565.0,68.0,12.0
SKU0309,481353582536,Seafood,Smoked Seafood,395.0,47.0,11.9
SKU0039,432051743509,Seafood,Shellfish,417.0,49.0,11.8
SKU0266,420578823157,Meat,Chicken,252.0,29.0,11.5
SKU0036,457356271327,Meat,Prepared Meat,300.0,34.0,11.3
SKU0085,422414752007,Meat,Prepared Meat,231.0,26.0,11.3
SKU0041,456548875618,Meat,Pork,365.0,41.0,11.2
SKU0278,438813549843,Meat,Prepared Meat,258.0,29.0,11.2
SKU0146,472434239416,Meat,Prepared Meat,348.0,39.0,11.2
SKU0021,489200452323,Meat,Chicken,288.0,32.0,11.1
SKU0336,460210877534,Meat,Pork,407.0,45.0,11.1
SKU0198,400566090561,Meat,Beef,234.0,26.0,11.1
SKU0165,495203811810,Meat,Prepared Meat,290.0,32.0,11.0
SKU0240,479296742767,Meat,Prepared Meat,266.0,29.0,10.9
SKU0367,476574001502,Meat,Beef,383.0,41.0,10.7
SKU0052,436532496588,Meat,Pork,428.0,46.0,10.7
SKU0038,426592676864,Meat,Pork,283.0,30.0,10.6
SKU0372,449064406677,Meat,Beef,372.0,39.0,10.5
SKU0262,409814270928,Meat,Beef,532.0,55.0,10.3
SKU0344,464098133303,Meat,Chicken,453.0,46.0,10.2
SKU0105,442798149836,Meat,Pork,248.0,25.0,10.1
SKU0053,440241812434,Meat,Pork,278.0,28.0,10.1
SKU0249,453940159561,Meat,Chicken,345.0,35.0,10.1